; ip_battle_formations|Battle Formations: TLD FormAI
ip_starting_tips_text|تختار فصيلك في البداية ولا يمكنك تغييره لاحقًا. يمكنك أيضًا الاختيار من بين أعراق مختلفة: البشر، الجان، الأقزام، الأوروك، الأوروك-هاي أو العفاريت. تذكر أن كلاً من الفصيل والعرق الذي تختاره سيحدانك بطرق معينة. توفر بعض الفصائل جنودًا ممتازين، ولكن بأعداد صغيرة. البعض لديه قوات ضعيفة، لكن يمكنك استئجار العديد منهم. لا يمكن للعفاريت الأصغر حجمًا ارتداء الدروع المصممة للكبار، لكن يمكنهم ركوب بعض الوحوش بدلاً من ذلك. الأقزام لديهم معدات استثنائية، لكن لا يمكنهم ركوب الدواب.^^لم يتم تصميم هذا ليكون متوازنًا تمامًا (اصطناعيًا). يمكن أن يكون لعب الأعراق أو الفصائل الأضعف أكثر تحديًا (كلعبة أولى، قد ترغب في تفضيل الخيارات، في قوائم البداية، الموضوعة في أعلى قائمة البدائل).^^تختار فصيلًا وتقاتل من أجله حتى يربح جانبك الحرب العظيمة، أو حتى يتم القضاء على فصيلك. في هذه الحالة، لا يزال بإمكانك الاستمرار في القتال من أجل حلفائك.^^- التجول بلا هدف ليس فكرة جيدة، فالحرب تتطلب هدفًا وقصدًا من جانبك. قبل أن تبدأ الحرب، تحاول تجميع مجموعة من المحاربين، والحصول على الرفقاء ذوي المتطلبات المنخفضة وبعض المعدات لتكون جاهزًا. بعد أن تبدأ الحرب، قد تختلف استراتيجياتك. تذكر، من المهم مساعدة حلفائك وإلحاق الهزيمة بالعدو معًا.^- القيام بمهام للوردات الفصائل هو طريقة جيدة للارتقاء في الرتبة والحصول على نقاط الموارد والنفوذ.^- خذ مهام/طلبات متعددة في نفس الوقت، اسأل الجميع! يمكنك غالبًا "القيام بجولات" وإنجاز العديد من المهام الأخرى أثناء تسليم رسالة على سبيل المثال. لا تضيع الوقت!
ip_rumours_and_legendary_places|الشائعات والأماكن الأسطورية
ip_rumours_and_legendary_places_text|عند التحدث إلى الناس في المستوطنات، يمكنك قراءة تعليقات من منظور فصيلهم. سيحتوي هذا غالبًا على أحداث شيقة (lore) وأحيانًا معلومات تفتح مواقع أسطورية خاصة على خريطة العالم.^^بعض هذه المواقع هي للاستكشاف فقط ولا تخدم أي غرض آخر، وبعضها يحتوي على مهام فريدة وبيض عيد الفصح (easter eggs). عندما تفتح واحدًا، سيتم إعلامك برسالة.
ip_trolls|القزمة (الترولز)
ip_trolls_text|القزمة (الترولز) قوية جدًا. اللاعبون الأشرار لا يمكنهم ببساطة تجنيدهم، لكن هناك طرق أخرى للحصول على قزم أو اثنين. إنهم لا يستمعون للأوامر، لذا أبعد قواتك عن هجماتهم المدمرة!^^إذا كنت تبحث عن قزمة كمهمة، يمكن العثور عليها تتجول حول المستوطنات التي كانت ترهبها (على الرغم من أن المجموعات الصديقة تقودها أحيانًا إلى أبعد من ذلك، أو تتعامل معها تمامًا قبل أن تفعل أنت)، أو تتجول في الجبال الضبابية، في الغالب بالقرب من كهوفها الأصلية.
ip_custom_camera|كاميرا مخصصة
ip_custom_camera_text|نفذت لعبة The Last Days of the Third Age كاميرا مخصصة لتجاوز حدود الكاميرا الحالية فيما يتعلق بالأعراق الأقصر (أي العفاريت والأقزام). إنها سهلة الاستخدام، ولكن قد يستغرق التعود عليها بعض الوقت.^^هناك وضعان: وضع ثابت ووضع حر.^^الوضع الثابت هو الوضع الأمثل لجميع الأعراق، لكن لا يمكن تهيئته.^^كاميرا الوضع الحر تضع الشخصية في منتصف الشاشة. يمكن ضبط هذه الكاميرا حسب تفضيل اللاعب. عند التصويب أثناء الرماية أو الرمي، فإنها تعود إلى الكاميرا الافتراضية لتصويب أفضل (والذي قد يكون صعبًا جدًا في البداية، ولكن يمكن للمرء أن يعتاد عليه). بمجرد استخدام المقذوف، تعود إلى الكاميرا المخصصة.^^^عناصر التحكم:^^اضغط على مفتاحي Ctrl+End معًا للتبديل بين أوضاع الكاميرا الثلاثة المختلفة: الكاميرا الافتراضية / الكاميرا الثابتة / كاميرا الوضع الحر.^^عندما تكون في "كاميرا الوضع الحر"، اضغط مع الاستمرار على Ctrl و Page Up (أو Page Down) لضبط ارتفاع الكاميرا (الإمالة).^^عندما تكون في "كاميرا الوضع الحر"، اضغط مع الاستمرار على Ctrl و Numpad + (أو Numpad -) لضبط مسافة الكاميرا (التكبير/التصغير).^^بالإضافة إلى ذلك، يمكنك أيضًا الضغط على Shift أثناء تحريك/تكبير الكاميرا لتمكين التنعيم (smoothing).
; ip_sieges|Siege AI
; ip_sieges_text|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Players command some of their own troops. Troops from your party will also join when they're near to the player. Use them wisely to help out where needed most.^^In order to win a siege attack, you must conquer all three defender reinforcement points. You can only take a reinforcement point if the defenders have already rallied there.
; ip_battle_terrain|Battle Effects: Terrain and Weather
; ip_battle_terrain_text|Terrain and weather can have a big effect on the outcome of a battle. Difficult terrain like forests or marshland makes it different to move and fight, but light-armored troops (generally indicated by a higher athletics skill) suffer much less.^^The player and companion NPCs suffer a terrain penalty based on their equipment weight and agility attribute.^^Special "magical" weather effects can apply in certain areas. These can strengthen or weaken your troops.
; ip_night_penalty|Battle Effects: Day and Night
; ip_night_penalty_text|Orcs and trolls hate the sun, but love the darkness of the night. In some regions, tall mountains or dim forests block out the sun and make fighting at daylight more bearable for orcs.^Uruks und Uruk-hai fight and run equally well at night or day.^Other races fight worse at night than they do at day, Men more so than Elves or Dwarves. However, some Men are accustomed to fighting in the dark and suffer no penalty.^^Underground battles are especially difficult. Orcs, Uruks, trolls and Dwarves don't mind fighting in dark tunnels.
; ip_advanced_soldier_management|Advanced Soldier Management
; ip_advanced_soldier_management_text|TLD includes the OSP Advanced Soldier Management feature. This feature adds a few keyboard shortcuts that allow for easier management of large numbers of troops when recruiting prisoners after a battle or managing your reserves.^^Capturing/recruiting prisoners after a battle:^^To take all prisoners that your party can accomodate select the top prisoner stack, hold LEFT CTRL + A, then click "Capture."^^To recruit all rescued prisoners that your party can accomodate select the top soldier stack, hold LEFT CTRL + S, then click "Hire."^^Managing your reserves:^^To transfer all prisoners to your reserves select any prisoner stack, hold LEFT CTRL + D, then click "Release."^^To take all prisoners from reserves that your party can accommodate select any prisoner stack, hold LEFT CTRL + A, then click "Capture."^^To transfer all soldiers to your reserves select any soldier stack, hold RIGHT CTRL + ARROW LEFT, then click "Release."^^To take all soldiers from your reserves that your party can accomodate select any soldier stack, hold RIGHT CTRL + ARROW RIGHT, then click "Hire."^^To move a stack one position down within your reserves select the particular soldier stack, hold ARROW DOWN, then click "Hire."^^To move a stack one position up within your reserves select the particular soldier stack, hold ARROW UP, then click "Hire."^^To move a stack to the top of your reserves select the particular soldier stack, hold PAGE UP, then click "Hire."^^To move a stack to the bottom of your reserves select the particular soldier stack, hold PAGE DOWN, then click "Hire."^^The last 4 controls do not work if there is only 1 soldier in the stack.
