str_yes|نعم.
str_tutorial_2_msg_4|دافع عن نفسك من السهام برفع درعك باستخدام زر الفأرة الأيمن. حاول البقاء واقفًا لمدة ثلاثين ثانية. بقي لديك {reg3} ثانية.
str_tutorial_2_msg_5|ممتاز، لقد نجحت في الدفاع ضد الرماة. هناك مكافأة في انتظارك في الغرفة التالية.
str_tutorial_2_msg_6|في التكوين الافتراضي، يُستخدم المفتاح F على لوحة المفاتيح للتفاعل غير العنيف مع الأشياء والبشر في عالم اللعبة. لالتقاط السيف على المذبح، انظر إليه واضغط F عندما ترى كلمة 'تجهيز'.
str_tutorial_2_msg_7|سلاح رائع! الآن يمكنك استخدامه لتوجيه بعض الانتقام. عد عبر الباب وتخلص من الرماة الذين واجهتهم سابقًا.
str_tutorial_2_msg_8|جيد جدًا. مهمتك الأخيرة قبل إنهاء هذا البرنامج التعليمي هي مواجهة المرافق. اذهب عبر الباب الآن وأره فولاذك!
str_tutorial_2_msg_9|تهانينا! لقد تعلمت الآن كيف تدافع عن نفسك بالدرع، بل واختبرت أول قتال لك مع خصوم مسلحين. تدرب أكثر قليلاً وستصبح قريبًا مبارزًا مشهورًا. يغطي البرنامج التعليمي التالي الدفاع الاتجاهي، وهو أحد أهم عناصر القتال في Mount&Blade. يمكنك الضغط على مفتاح Tab في أي وقت للعودة إلى قائمة البرامج التعليمية.
str_tutorial_3_msg_1|يهدف هذا البرنامج التعليمي إلى إعطائك نظرة عامة على الصد والدفاع بدون درع. صد الهجمات بسلاحك أصعب قليلاً من صدها بالدرع. عندما تدافع بسلاح، فأنت محمي فقط من اتجاه واحد، وهو الاتجاه الذي تم تعيين سلاحك فيه. إذا كنت تصد لأعلى، فستصد أي تأرجحات علوية قادمة ضدك، لكنك لن توقف الطعنات أو الهجمات على جوانبك. أي من هذه الهجمات سيظل قادرًا على إصابتك. لهذا السبب، لكي تنجو بدون درع، يجب أن تتعلم الدفاع الاتجاهي. اذهب لالتقاط الفأس الآن لبدء التدريب.
str_tutorial_3_msg_2|بشكل افتراضي، يتم تحديد الاتجاه الذي تدافع فيه (بالنقر مع الاستمرار على زر الفأرة الأيمن) حسب اتجاه هجوم أقرب خصم لك. على سبيل المثال، إذا كان خصمك يجهز هجومًا بالطعن، فإن الضغط مع الاستمرار على زر الفأرة الأيمن سيصد هجمات الطعن، ولكن ليس الهجمات الجانبية أو العلوية. يجب أن تراقب خصمك بعناية وتبدأ صدك فقط بعد أن يبدأ العدو في الهجوم. إذا بدأت قبل أن يجهز هجومًا، فقد تخطئ في اتجاه الصد تمامًا! الآن حان وقت انتقالك إلى الغرفة التالية، حيث سيتعين عليك الدفاع عن نفسك ضد خصم مسلح. مهمتك هي الدفاع عن نفسك بنجاح لمدة ثلاثين ثانية بدون أي معدات سوى فأس بسيط. تم تعطيل هجمات فأسك لهذا البرنامج التعليمي، لذا لا تقلق بشأن الهجوم وركز بدلاً من ذلك على دفاعك. انتقل إلى الغرفة التالية عندما تكون مستعدًا لبدء القتال.
str_tutorial_3_msg_3|اضغط مع الاستمرار على زر الفأرة الأيمن للدفاع عن نفسك بفأسك بعد أن يبدأ خصمك هجومه. حاول البقاء واقفًا لمدة ثلاثين ثانية. بقي لديك {reg3} ثانية.
str_tutorial_3_msg_4|أحسنت، لقد نجحت في هذا الاختبار! الآن ستواجه خصمًا أكثر تحديًا سيجعل الأمور أصعب عليك. انتقل إلى الغرفة التالية عندما تكون مستعدًا لمواجهته.
str_tutorial_3_msg_5|اضغط مع الاستمرار على زر الفأرة الأيمن للدفاع عن نفسك بفأسك بعد أن يبدأ خصمك هجومه. حاول البقاء واقفًا لمدة ثلاثين ثانية. بقي لديك {reg3} ثانية.
str_tutorial_3_msg_6|تهانينا، ما زلت واقفًا على الرغم من الجهود المضنية التي بذلها العدو. حان الآن وقت الهجوم بالإضافة إلى الدفاع. اقترب من الباب واضغط على المفتاح F عندما ترى كلمة 'اذهب'.
str_tutorial_3_2_msg_1|تم إعادة تفعيل هجمات فأسك. خصمك الأول ينتظر في الغرفة التالية. اهزمه بمزيج من الهجوم والدفاع.
str_tutorial_3_2_msg_2|اهزم خصمك بفأسك.
str_tutorial_3_2_msg_3|ممتاز. الآن الشيء الوحيد الذي يقف في طريقك هو خصم أخير. إنه في الغرفة التالية. تحرك وصرعه.
str_tutorial_3_2_msg_4|اهزم خصمك بفأسك.
str_tutorial_3_2_msg_5|أحسنت! في هذا البرنامج التعليمي، تعلمت كيف تقاتل بمهارة بدون درع. تدرب بجد وجيد، ولن يستطيع أحد أن يوجه لك ضربة. في البرنامج التعليمي التالي، قد تتعلم ركوب الخيل والقتال على ظهور الخيل. يمكنك الضغط على مفتاح Tab في أي وقت للعودة إلى قائمة البرامج التعليمية.
str_tutorial_4_msg_1|مرحبًا بك في البرنامج التعليمي الرابع. في هذه السلسلة، ستتعرف على ركوب الخيل/الورق وكيفية أداء التمارين القتالية المختلفة على ظهور الخيل. سنبدأ بتركيبك على الحصان. اقترب من الحصان، واضغط على المفتاح 'F' عندما ترى كلمة 'ركوب'.
str_tutorial_4_msg_2|أثناء ركوب الخيل، تتحكم مفاتيح WASD في حركة حصانك، وليس حركتك أنت. اركب حصانك وحاول اتباع العلم حول المضمار. عندما تصل إلى العلم، سينتقل إلى نقطة المسار التالية حتى تصل إلى خط النهاية.
str_tutorial_4_msg_3|جيد جدًا. بعد ذلك سنغطي مهاجمة الأعداء من على ظهور الخيل. اقترب من العلم الآن.
str_tutorial_4_msg_4|اسحب سيفك (باستخدام عجلة الفأرة) ودمر الأهداف الأربعة. حاول ضرب الدمى وأنت تمر بها بأقصى سرعة -- هذا يشكل تحديًا إضافيًا، لكن السرعة الإضافية المضافة إلى ضربتك ستسمح لك بإلحاق المزيد من الضرر. أسهل طريقة للقيام بذلك هي الضغط مع الاستمرار على زر الفأرة الأيسر حتى اللحظة المناسبة، ثم تحريره قبل أن تمر بالهدف مباشرة.
str_tutorial_4_msg_5|عمل ممتاز. الآن لنجرب بعض الرماية من على ظهر الحصان. اقترب من العلم الآن.
str_tutorial_4_msg_6|حدد هدف الرماية بجانب مضمار الفروسية وأصبه ثلاث مرات بقوسك. على الرغم من أنه ليس مطلوبًا منك الرمي أثناء الركض، إلا أنه يُنصح بمحاولة إصابة الهدف بسرعات وزوايا مختلفة لتشعر كيف تؤثر سرعة حصانك ومساره على دقة تصويبك.
str_tutorial_4_msg_7|تهانينا، لقد أكملت هذا البرنامج التعليمي. يمكنك الضغط على مفتاح Tab في أي وقت للعودة إلى قائمة البرامج التعليمية.
str_tutorial_5_msg_1|مرحبًا بك في البرنامج التعليمي الخامس والأخير، والذي يمنحك لمحة موجزة عن كيفية قيادة القوات في المعركة، أحد أهم الجوانب في Mount & Blade.^^قائمة الأوامر الأولى التي يجب أن تتعلمها هي أوامر الحركة، والتي يمكن العثور عليها بالضغط على المفتاح F1. اضغط على ذلك الآن واستكشف العديد من خيارات الحركة التي يمكنك منحها لقواتك في المعركة.^^في هذه الخطوة الأولى، اطلب من قواتك أن تتبعك وتتحرك إلى أعلى التل حيث يوجد العلم والمؤشر.
str_tutorial_5_msg_2|ممتاز. لقد اتبعتك قواتك إلى أعلى التل. الآن لديك منظر جيد لساحة المعركة.^^هذه المرة، اطلب من قواتك أن تتمركز على هذا التل بالضغط على قائمة أوامر F1 مرة أخرى، واختيار تمركز هنا (F1).^^بمجرد أن تفعل ذلك، ستلاحظ أن قواتك تتوقف عن اتباعك وتبقى في الموقع الذي طلبت منها.^^هذا وقت مناسب لتعلم قائمة الأوامر الثانية، والتي تدور حول التشكيلات الأساسية للقوات.^^تسمح لك هذه القائمة بإصدار أوامر لقواتك بتضييق صفوفهم، أو الصمود أمام هجمات المشاة، أو التفرق لمواجهة وابل الرماة.^^إن إصدار الأوامر لقواتك بالتقدم أو التراجع عشر خطوات باستخدام قائمة الأوامر هذه يسمح لقواتك بالتحرك مع الحفاظ على تشكيلهم.^^بعد استكشاف الخيارات المختلفة، أبقِ قواتك متمركزة على هذا التل وتحرك بمفردك نحو التل المقابل، حيث يوجد العلم والمؤشر.
str_tutorial_5_msg_3|عظيم. كما ترى، مشاتك متمركزة حيث طلبت منهم. الآن، تحرك نحو الطاحونة وحدك.
str_tutorial_5_msg_4|الآن انضم الرماة إلى قيادتك. في Mount & Blade، يمكنك إعطاء أوامر منفصلة لأقسام محددة من القوات مثل المشاة والرماة والفرسان.^^الضغط على مفاتيح الأرقام سيختار القسم الذي تختاره (1 للمشاة، 2 للرماة، 3 للفرسان). يمكنك بعد ذلك استخدام قوائم الأوامر التي تظهر لإصدار أوامر للقسم المحدد.^^لاحظ أن الاختيار سيستمر، والضغط على أي من قوائم الأوامر (F1، F2، F3) سيكون للقسم الأخير الذي تم اختياره. اقرأ الرسائل التي تظهر على شاشتك لترى أي قسم يتم التحكم به.^^الآن، اطلب من مشاتك أن يتبعوك، ثم اطلب من رماك أن يتبعوك أيضًا. بمجرد أن يكونوا جميعًا معًا، عد إلى التل الذي أتيت منه.^^هناك، ابحث عن المؤثر واطلب من مشاتك التحرك والتمركز هناك بالضغط على 1، ثم الضغط مع الاستمرار على المفتاح F1 لإظهار راية. يمكنك استخدام هذا لتحريك قواتك إلى موقع محدد تختاره.^^اطلب من رماك التحرك نحو العلم خلف المؤشر، وإلى أرض مرتفعة.
str_tutorial_5_msg_5|رجالك في موقعهم، وقد تجمع الأعداء وهم يتجهون نحوك. استخدم ما تعلمته لمناورة مشاتك للأمام في تشكيل، أو اطلب منهم الهجوم. الهجوم يكسر جميع التشكيلات، ويحرك قواتك نحو أقرب الأعداء.^^يمكنك أيضًا إبقاء رماك على أرض مرتفعة للحصول على نقطة مراقبة أفضل، أو أيضًا اطلب منهم التحرك إلى مكان آخر.^^يمكنك أيضًا الضغط على F3 لإظهار قائمة الأوامر الثالثة والتعرف على أوامر الأسلحة المختلفة التي يمكنك إعطاؤها لقواتك.
str_tutorial_5_msg_6|ممتاز! لقد أكملت أول معركة ميدانية لك في Mount & Blade. القيادة الذكية لقواتك في المعركة أمر بالغ الأهمية لنجاحك كقائد في المعركة. تأكد من تعلم كيفية تحريك قواتك إلى مواقع مفيدة.^^في The Last Days of the Third Age، هناك تشكيلات معقدة لمناورات أكثر تقدمًا مثل جدار درع المشاة وأوتاد الفرسان. يمكنك معرفة المزيد عنها داخل اللعبة.^^يمكنك الضغط على TAB في أي وقت لمغادرة البرنامج التعليمي.
str_trainer_help_1|هذه ساحة تدريب حيث يمكنك تعلم أساسيات اللعبة. استخدم مفاتيح A، S، D، W للتحرك والفأرة للنظر حولك.
str_trainer_help_2|لتتحدث مع المدرب، اقترب منه، وانظر إليه واضغط على المفتاح 'F' عندما ترى كلمة 'تحدث' تحت اسمه. عندما ترغب في مغادرة هذه المنطقة أو أي منطقة أخرى أو الانسحاب من معركة، يمكنك الضغط على مفتاح TAB.
str_custom_battle_1|اعترض أنغبور الذي لا يعرف الخوف وشركته من غوندور مجموعة دعم من هاراد. يصرخ بحربته، ويدفع حصانه للأمام، ويقود رجاله المخلصين إلى معركة شرسة.
str_custom_battle_2|يقود سيليبورن من لورين دورية من الفرسان والرماة عندما يحذرهم مراقب أمامي من اقتراب قوة من الرجال الأشرار ذوي الوجوه الرمادية. إنهم النومينوريون السود المخيفون! لم يُرَ هؤلاء بالقرب من لوثلورين منذ عصور، ولكن الآن يجب دفعهم إلى العالم الآخر.
str_custom_battle_3|يقود اللورد غريمبولد من روهان الدفاع الأخير عن الأسوار ضد جيش من آيزنغارد. الآن، بينما يستعد المحاصرون لهجوم أخير على الأسوار، يجب عليه الصمود على الأسوار بالشجاعة والفولاذ اللامع.
str_custom_battle_4|عندما يخبر الكشافة اللورد بيرانهيلم باقتراب عصابة حرب من رون، قرر أن يعد بسرعة دفاعات معسكره ويحاول الصمود ضد أعداد متفوقة.
str_custom_battle_5|أحضر أوغلوك عفاريته الشرسة إلى الغرب مع وعد بالغنائم. إذا تمكن من جعل معقل الأقزام هذا يسقط بيده اليوم، فسيكون أسياده في باراد-دور مسرورين للغاية.
str_custom_battle_6|كان أوغلوك وفرقة مغيريه من العفاريت حريصين قدر الإمكان على الهروب من دوريات الجان. لكن الحظ الجيد للبعض قد لا يدوم إلى الأبد، ويبدو أن للبشرة الشاحبة القذرة نصيبها الآن.
str_custom_battle_7|أقام القراصنة معسكرهم على شواطئ غوندور! كيف يجرؤون. دعنا نضربهم قبل أن يصلهم الدعم ونطردهم إلى البحر، حيث ينتمون.
str_finished|(انتهى)
str_delivered_damage|ألحقت {reg60} ضررًا.
str_archery_target_hit|المسافة: {reg61} ياردة. النتيجة: {reg60}
str_use_baggage_for_inventory|استخدم أمتعتك للوصول إلى مخزونك أثناء المعركة (إنها في موقع بدايتك).
str_cant_use_inventory_now|لا يمكن الوصول إلى المخزون الآن.
str_cant_use_inventory_arena|لا يمكن الوصول إلى المخزون في الساحة.
str_cant_use_inventory_disguised|لا يمكن الوصول إلى المخزون أثناء تنكرك.
str_cant_use_inventory_tutorial|لا يمكن الوصول إلى المخزون في معسكر التدريب.
str_1_denar|نقطة مورد واحدة.
str_reg1_denars|{reg1} نقاط مورد.
str_january_reg1_reg2|العصر الثالث {reg2}، نارفينيا {reg1} (يناير)
str_february_reg1_reg2|العصر الثالث {reg2}، نينيمي {reg1} (فبراير)
str_march_reg1_reg2|العصر الثالث {reg2}، سوليمي {reg1} (مارس)
str_april_reg1_reg2|العصر الثالث {reg2}، فيريسي {reg1} (أبريل)
str_may_reg1_reg2|العصر الثالث {reg2}، لوتيسي {reg1} (مايو)
str_june_reg1_reg2|العصر الثالث {reg2}، ناريي {reg1} (يونيو)
str_july_reg1_reg2|العصر الثالث {reg2}، كيرميي {reg1} (يوليو)
str_august_reg1_reg2|العصر الثالث {reg2}، أوريمي {reg1} (أغسطس)
str_september_reg1_reg2|العصر الثالث {reg2}، يافانيا {reg1} (سبتمبر)
str_october_reg1_reg2|العصر الثالث {reg2}، ناركويلاي {reg1} (أكتوبر)
str_november_reg1_reg2|العصر الثالث {reg2}، هيسيمي {reg1} (نوفمبر)
str_december_reg1_reg2|العصر الثالث {reg2}، رينغاري {reg1} (ديسمبر)
str_calendar_spec_day_1|العصر الثالث {reg2}، يستاري (اليوم الأول)
str_calendar_spec_day_2|العصر الثالث {reg2}، تويليري (يوم الربيع)
str_calendar_spec_day_3|العصر الثالث {reg2}، لونداي (يوم منتصف السنة)
str_calendar_spec_day_4|العصر الثالث {reg2}، يافيري (يوم الحصاد)
str_calendar_spec_day_5|العصر الثالث {reg2}، ميتاري (اليوم الأخير)
str_town_nighttime| إنه وقت متأخر من الليل.
str_door_locked|الباب مغلق.
str_castle_is_abondened|يبدو أن القلعة غير مأهولة.
str_town_is_abondened|المدينة ليس لديها حامية تدافع عنها.
str_place_is_occupied_by_player|المكان تحت سيطرة قواتك الخاصة.
str_place_is_occupied_by_enemy|المكان تحت سيطرة قوات معادية.
str_place_is_occupied_by_friendly|المكان تحت سيطرة قوات صديقة.
str_do_you_want_to_retreat|هل أنت متأكد أنك تريد الانسحاب؟
str_give_up_fight|هل تتخلى عن القتال؟
str_do_you_wish_to_leave_tutorial|هل ترغب في مغادرة البرنامج التعليمي؟
str_do_you_wish_to_surrender|هل ترغب في الاستسلام؟
str_can_not_retreat|لا يمكن الانسحاب، هناك أعداء قريبون!
str_s1_joined_battle_enemy|انضم {s1} إلى المعركة إلى جانب العدو.
str_s1_joined_battle_friend|انضم {s1} إلى المعركة إلى جانبك.
str_entrance_to_town_forbidden|حراس المدينة في حالة ترقب للمتسللين ويبدو أنك لن تتمكن من المرور عبر البوابات دون مواجهة.
str_sneaking_to_town_impossible|حراس المدينة في حالة تأهب. لن تتمكن من التسلل عبر تلك البوابة مهما كانت تنكرك جيدًا.
str_battle_won|لقد ربحت المعركة!
str_battle_lost|لقد خسرت المعركة!
str_player_down|لقد تم ضربك وفقدت الوعي، لكن قواتك تواصل القتال!
str_attack_walls_success|بعد قتال دامٍ، تمكن جنودك الشجعان من الاستيلاء على الأسوار من العدو.
str_attack_walls_failure|يسقط جنودك كالموجات وهم يهاجمون الأسوار، والقليل الذين يبقون على قيد الحياة ينهزمون ويهربون قريبًا، لا يُرى لهم أثر مرة أخرى.
str_attack_walls_continue|يدور قتال دامٍ ويقاتل كلا الجانبين ببسالة متساوية. على الرغم من جهود قواتك، تبقى القلعة في أيدي العدو.
str_order_attack_success|يقاتل رجالك بشجاعة ويهزمون العدو.
str_order_attack_failure|تشاهد المعركة بيأس بينما يذبح العدو جنودك، ثم يطرد بسهولة الناجين القلائل الأشعث.
str_order_attack_continue|على الرغم من مناوشات مطولة، لم تتمكن قواتك من تحقيق نصر حاسم.
str_join_order_attack_success|يقاتل رجالك جيدًا إلى جانب حلفائك، ويشاركون في المجد بينما يُهزم أعداؤك.
str_join_order_attack_failure|تشاهد المعركة بيأس بينما يذبح العدو جنودك، ثم يطرد بسهولة الناجين القلائل الأشعث.
str_join_order_attack_continue|على الرغم من مناوشات مطولة، لم تتمكن قواتك ولا حلفاؤك من تحقيق نصر حاسم على العدو.
str_siege_defender_order_attack_success|يصمد رجال الحامية على أسوارهم بمهارة وشجاعة، محطمين هجوم العدو ومحوّلين الهزيمة بمهارة إلى هزيمة ساحقة.
str_siege_defender_order_attack_failure|يتحول الهجوم بسرعة إلى مذبحة. الجهود الباسلة تذهب سدى؛ الحامية غير المتكافئة لا تستطيع الصمود على الأسوار، والعدو يقتل كل آخر مدافع.
str_siege_defender_order_attack_continue|تفشل محاولات دامية متكررة على الأسوار في تحقيق أي تقدم، لكن عدد الأعداء لا يزال كبيرًا جدًا بحيث لا يستطيع المدافعون تحقيق نصر حقيقي. الحصار مستمر.
str_hero_taken_prisoner|{s1} من {s3} وقع أسيرًا لدى {s2}.
str_hero_freed|{s1} من {s3} تم تحريره من الأسر بواسطة {s2}.
str_center_captured|استولى {s2} على {s1} من {s3}!
str_troop_relation_increased|علاقتك مع {s1} زادت من {reg1} إلى {reg2}.
str_troop_relation_detoriated|علاقتك مع {s1} تدهورت من {reg1} إلى {reg2}.
str_faction_relation_increased|علاقتك مع {s1} زادت من {reg1} إلى {reg2}.
str_faction_relation_detoriated|علاقتك مع {s1} تدهورت من {reg1} إلى {reg2}.
str_party_gained_morale|مجموعتك تكتسب {reg1} من الروح المعنوية.
str_party_lost_morale|مجموعتك تخسر {reg1} من الروح المعنوية.
str_qst_follow_spy_noticed_you|لقد رصدك الجاسوس! إنه يحاول الهرب!
str_father|الأب
str_husband|الزوج
str_wife|الزوجة
str_daughter|الابنة
str_mother|الأم
str_son|الابن
str_brother|الأخ
str_sister|الأخت
str_he|هو
str_she|هي
str_s3s_s2|{s2} {s3}
str_s5_is_s51|{s5} هو {s51}.
str_s5_is_the_ruler_of_s51|{s5} هو حاكم {s51}.
str_s5_is_a_nobleman_of_s6|{s5} هو نبيل من {s6}.
str_relation_mnus_100|حاقد
str_relation_mnus_90|حاقد
str_relation_mnus_80|حاقد
str_relation_mnus_70|كراهية
str_relation_mnus_60|كراهية
str_relation_mnus_50| عدائي
str_relation_mnus_40| غاضب
str_relation_mnus_30| مستاء
str_relation_mnus_20| متذمر
str_relation_mnus_10| مشبوه
str_relation_plus_0| غير مبال
str_relation_plus_10| متعاون
str_relation_plus_20| مرحب
str_relation_plus_30| إيجابي
str_relation_plus_40| داعم
str_relation_plus_50| ودود
str_relation_plus_60| كريم
str_relation_plus_70| مولع
str_relation_plus_80| مخلص
str_relation_plus_90| مخلص للغاية
str_relation_mnus_100_ns|{s60} حاقد تجاهك.
str_relation_mnus_90_ns|{s60} حاقد تجاهك.
str_relation_mnus_80_ns|{s60} حاقد تجاهك.
str_relation_mnus_70_ns|{s60} يكن لك كراهية.
str_relation_mnus_60_ns|{s60} يكن لك كراهية.
str_relation_mnus_50_ns|{s60} عدائي تجاهك.
str_relation_mnus_40_ns|{s60} غاضب تجاهك.
str_relation_mnus_30_ns|{s60} مستاء منك.
str_relation_mnus_20_ns|{s60} متذمر منك.
str_relation_mnus_10_ns|{s60} مشبوه تجاهك.
str_relation_plus_0_ns|{s60} غير مبالٍ بك.
str_relation_plus_10_ns|{s60} متعاون معك.
str_relation_plus_20_ns|{s60} يرحب بك.
str_relation_plus_30_ns|{s60} إيجابي تجاهك.
str_relation_plus_40_ns|{s60} داعم لك.
str_relation_plus_50_ns|{s60} ودود معك.
str_relation_plus_60_ns|{s60} كريم معك.
str_relation_plus_70_ns|{s60} مولع بك.
str_relation_plus_80_ns|{s60} مخلص لك.
str_relation_plus_90_ns|{s60} مخلص لك للغاية.
str_relation_reg1| العلاقة: {reg1}
str_center_relation_mnus_100|يُبغضك الجمهور بشغف
str_center_relation_mnus_90|يُبغضك الجمهور بشدة
str_center_relation_mnus_80|يُبغضك الجم بشدة
str_center_relation_mnus_70|يُبغضك الجمهور
str_center_relation_mnus_60|الجمهور يكن لك كراهية
str_center_relation_mnus_50|الجمهور عدائي للغاية تجاهك
str_center_relation_mnus_40|الجمهور عدائي جدًا تجاهك
str_center_relation_mnus_30|الجمهور عدائي تجاهك
str_center_relation_mnus_20|الجمهور ضدك
str_center_relation_mnus_10|الجمهور يعارضك
str_center_relation_plus_0|الجمهور غير مبالٍ بك
str_center_relation_plus_10|الجمهور متقبّل لك
str_center_relation_plus_20|الجمهور متعاون معك
str_center_relation_plus_30|الجمهور داعم لك إلى حد ما
str_center_relation_plus_40|الجمهور داعم لك
str_center_relation_plus_50|الجمهور داعم لك جدًا
str_center_relation_plus_60|الجمهور مخلص لك
str_center_relation_plus_70|الجمهور مخلص لك بشدة
str_center_relation_plus_80|الجمهور مخلص لك للغاية
str_center_relation_plus_90|الجمهور مخلص لك بشراسة
str_town_prosperity_0|فقر بلدة {s60} لا يُطاق
str_town_prosperity_10|بلدة {s60} القذرة مهجورة تقريبًا.
str_town_prosperity_20|تبدو بلدة {s60} وكأنها مكان بائس موحش.
str_town_prosperity_30|تبدو بلدة {s60} فقيرة ومهملة.
str_town_prosperity_40|يبدو أن بلدة {s60} تكافح من أجل البقاء.
str_town_prosperity_50|تبدو بلدة {s60} عادية.
str_town_prosperity_60|يبدو أن بلدة {s60} تزدهر.
str_town_prosperity_70|بلدة {s60} المزدهرة تعج بالنشاط.
str_town_prosperity_80|تبدو بلدة {s60} غنية وجيدة الصيانة.
str_town_prosperity_90|بلدة {s60} فخمة ومزدحمة بأهل الخير.
str_town_prosperity_100|بلدة {s60} المتلألئة تتباهى بثرائها العظيم علنًا.
str_village_prosperity_0|فقر قرية {s60} لا يُطاق.
