qst_deliver_message|Aflever besked til {s13}
qst_join_siege_with_army_text|intet
; qst_scout_waypoints|Scout {s13}, {s14} and {s15}
qst_scout_waypoints_text|intet
; qst_move_cattle_herd|Move {s12} to {s13}
; qst_move_cattle_herd_text|The Elder of {s10} asked you to move some {s12} to {s13}.
; qst_escort_merchant_caravan|Escort Supply Train to {s8}
; qst_escort_merchant_caravan_text|Escort the supply train to {s8} and speak to them when near.
; qst_deliver_wine|Deliver {reg5} Units of {s6} to {s4}
; qst_deliver_wine_text|The {s9} of {s3} asked you to deliver {reg5} units of {s6} to {s4} in 7 days.
; qst_troublesome_bandits|Hunt Down Troublesome Goblins
; qst_troublesome_bandits_text|The {s9} of {s4} asked you to hunt down the troublesome goblins in the vicinity of the town.
; qst_deal_with_looters|Deal with Tribal Orcs
; qst_deal_with_looters_text|The Elder of {s4} has asked you to deal with several bands of tribal orcs around {s4}.
; qst_deal_with_night_bandits|Deal with Rogue Goblins
; qst_deal_with_night_bandits_text|The Elder of {s14} has asked you to deal with night goblins at {s14}.
; qst_deliver_food|Supply {s3} with {reg5} Units of food
; qst_deliver_food_text|The {s9} of {s3} asked you to bring him {reg5} units of food in 10 days.
; qst_deliver_iron|Supply {s3} with {reg5} Units of {s6}
; qst_deliver_iron_text|The {s9} of {s3} asked you to bring him {reg5} units of {s6}.
; qst_tld_introduction|Go to your faction leader.
qst_tld_introduction_text|intet
; qst_treebeard_kill_orcs|Defeat the tree-chopping orc party
; qst_treebeard_kill_orcs_text|Treebeard wants you find and defeat the orcs cutting down trees in Fangorn.
; qst_oath_of_vengeance|Oath of Vengeance
; qst_oath_of_vengeance_text|Enraged by the death of {s1}, you have sworn an oath of vengeance upon the forces of {s2}. You must now destroy as many of the armies of {s2} as possible in the coming days. You are keenly aware that your followers have witnessed this oath and you do not wish to become known as an oathbreaker. An orgy of bloodletting must now begin!
; qst_deliver_gift|Deliver a {s4} of {s1} from {s2} to {s3}
; qst_deliver_gift_text|You have requested to deliver a {s4} of {s1} to {s3} from {s2}.
; qst_ring_hunters|Ring Hunters
; qst_ring_hunters2|Ring Hunters - Completed
; qst_deliver_message_hobbit|Concerning Hobbits
; qst_blank_quest_01|Defend Refugees
; qst_blank_quest_02|Hunt Down Refugees
; qst_blank_quest_03|Sea Battle
; qst_blank_quest_04|Kill {s35} {s6} {s7}
; qst_blank_quest_05|Kill {s35} {s36} troops.










; qst_blank_quest_16|Reinforce Center
; qst_blank_quest_17|Slay {reg22} {s6} in battles




; qst_guardian_party_quest|Isengard's Last Stand
; qst_quests_end|Quests End
; qst_quests_end_text|.
